
2022/09/02 (15:00:26) | ===> btop++ v.1.2.8
2022/09/02 (15:00:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/02 (15:00:35) | ===> btop++ v.1.2.8
2022/09/02 (15:00:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/05 (01:19:13) | ===> btop++ v.1.2.8
2022/09/05 (01:19:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/09/11 (23:46:02) | ===> btop++ v.1.2.8
2022/09/11 (23:46:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/19 (17:33:04) | ===> btop++ v.1.2.13
2023/01/19 (17:33:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/19 (17:45:17) | ===> btop++ v.1.2.13
2023/01/19 (17:45:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/20 (22:57:59) | ===> btop++ v.1.2.13
2023/01/20 (22:57:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/22 (17:07:11) | ===> btop++ v.1.2.13
2023/01/22 (17:07:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/23 (14:31:36) | ===> btop++ v.1.2.13
2023/01/23 (14:31:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/01/23 (14:57:58) | ===> btop++ v.1.2.13
2023/01/23 (14:57:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/22 (10:04:23) | ===> btop++ v.1.2.13
2023/02/22 (10:04:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/22 (10:06:16) | ===> btop++ v.1.2.13
2023/02/22 (10:06:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/22 (11:12:13) | ===> btop++ v.1.2.13
2023/02/22 (11:12:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/22 (15:36:13) | ===> btop++ v.1.2.13
2023/02/22 (15:36:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/22 (15:52:23) | ===> btop++ v.1.2.13
2023/02/22 (15:52:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/22 (16:01:11) | ===> btop++ v.1.2.13
